weaks,stocks
2013-01-06,416
2013-01-13,422
2013-01-20,413
2013-01-27,421
2013-02-03,400
2013-02-10,402
2013-02-17,425
2013-02-24,420
2013-03-03,412
2013-03-10,394
2013-03-17,388
2013-03-24,369
2013-03-31,357
2013-04-07,361
2013-04-14,378
2013-04-21,382
2013-04-28,398
2013-05-05,394
2013-05-12,393
2013-05-19,392
2013-05-26,403
2013-06-02,399
2013-06-09,385
2013-06-16,387
2013-06-23,374
2013-06-30,371
2013-07-07,372
2013-07-14,385
2013-07-21,390
2013-07-28,384
2013-08-04,376
2013-08-11,371
2013-08-18,361
2013-08-25,352
2013-09-01,349
2013-09-08,341
2013-09-15,345
2013-09-22,336
2013-09-29,338
2013-10-06,323
2013-10-13,323
2013-10-20,320
2013-10-27,322
2013-11-03,308
2013-11-10,302
2013-11-17,316
2013-11-24,318
2013-12-01,305
2013-12-08,290
2013-12-15,296
2013-12-22,298
2013-12-29,306
2014-01-05,310
2014-01-12,302
2014-01-19,305
2014-01-26,302
2014-02-02,306
2014-02-09,309
2014-02-16,312
2014-02-23,314
2014-03-02,297
2014-03-09,277
2014-03-16,288
2014-03-23,291
2014-03-30,282
2014-04-06,281
2014-04-13,270
2014-04-20,276
2014-04-27,282
2014-05-04,273
2014-05-11,277
2014-05-18,273
2014-05-25,278
2014-06-01,277
2014-06-08,283
2014-06-15,284
2014-06-22,290
2014-06-29,288
2014-07-06,289
2014-07-13,285
2014-07-20,279
2014-07-27,263
2014-08-03,269
2014-08-10,261
2014-08-17,248
2014-08-24,242
2014-08-31,253
2014-09-07,265
2014-09-14,243
2014-09-21,247
2014-09-28,244
2014-10-05,236
2014-10-12,240
2014-10-19,227
2014-10-26,216
2014-11-02,253
2014-11-09,241
2014-11-16,266
2014-11-23,268
2014-11-30,270
2014-12-07,251
2014-12-14,270
2014-12-21,275
2014-12-28,263
2015-01-04,263
2015-01-11,266
2015-01-18,264
2015-01-25,256
2015-02-01,256
2015-02-08,258
2015-02-15,255
2015-02-22,261
2015-03-01,264
2015-03-08,260
2015-03-15,243
2015-03-22,240
2015-03-29,243
2015-04-05,246
2015-04-12,253
2015-04-19,249
2015-04-26,244
2015-05-03,251
2015-05-10,248
2015-05-17,236
2015-05-24,233
2015-05-31,232
2015-06-07,237
2015-06-14,249
2015-06-21,248
2015-06-28,251
2015-07-05,252
2015-07-12,250
2015-07-19,255
2015-07-26,248
2015-08-02,245
2015-08-09,240
2015-08-16,243
2015-08-23,243
2015-08-30,235
2015-09-06,241
2015-09-13,241
2015-09-20,243
2015-09-27,240
2015-10-04,240
2015-10-11,239
2015-10-18,234
2015-10-25,236
2015-11-01,229
2015-11-08,223
2015-11-15,225
2015-11-22,221
2015-11-29,218
2015-12-06,211
2015-12-13,200
2015-12-20,199
2015-12-27,197
2016-01-03,200
2016-01-10,198
2016-01-17,200
2016-01-24,204
2016-01-31,206
2016-02-07,207
2016-02-14,206
2016-02-21,207
2016-02-28,205
2016-03-06,201
2016-03-13,189
2016-03-20,191
2016-03-27,184
2016-04-03,201
2016-04-10,207
2016-04-17,206
2016-04-24,201
2016-05-01,199
2016-05-08,206
2016-05-15,206
2016-05-22,203
2016-05-29,205
2016-06-05,212
2016-06-12,206
2016-06-19,211
2016-06-26,210
2016-07-03,205
2016-07-10,211
2016-07-17,209
2016-07-24,212
2016-07-31,206
2016-08-07,206
2016-08-14,207
2016-08-21,204
2016-08-28,200
2016-09-04,199
2016-09-11,196
2016-09-18,191
2016-09-25,191
2016-10-02,190
2016-10-09,183
2016-10-16,175
2016-10-23,180
2016-10-30,181
2016-11-06,171
2016-11-13,178
2016-11-20,176
2016-11-27,172
2016-12-04,180
2016-12-11,182
2016-12-18,185
2016-12-25,184
2017-01-01,186
2017-01-08,184
2017-01-15,186
2017-01-22,187
2017-01-29,188
2017-02-05,184
2017-02-12,187
2017-02-19,185
2017-02-26,186
2017-03-05,192
2017-03-12,190
2017-03-19,185
2017-03-26,188
2017-04-02,180
2017-04-09,179
2017-04-16,180
2017-04-23,178
2017-04-30,178
2017-05-07,177
2017-05-14,178
2017-05-21,175
2017-05-28,173
2017-06-04,176
2017-06-11,176
2017-06-18,180
2017-06-25,184
2017-07-02,179
2017-07-09,182
2017-07-16,188
2017-07-23,191
2017-07-30,190
2017-08-06,192
2017-08-13,189
2017-08-20,187
2017-08-27,190
2017-09-03,188
2017-09-10,182
2017-09-17,180
2017-09-24,181
2017-10-01,180
2017-10-08,180
2017-10-15,177
2017-10-22,177
2017-10-29,177
2017-11-05,176
2017-11-12,175
2017-11-19,176
2017-11-26,170
2017-12-03,171
2017-12-10,171
2017-12-17,170
2017-12-24,171
2017-12-31,170
2018-01-07,173
2018-01-14,172
2018-01-21,169
2018-01-28,167
2018-02-04,158
2018-02-11,161
2018-02-18,159
2018-02-25,157
2018-03-04,165
2018-03-11,166
2018-03-18,167
2018-03-25,167
2018-04-01,163
2018-04-08,168
2018-04-15,169
2018-04-22,164
2018-04-29,167
2018-05-06,174
2018-05-13,171
2018-05-20,171
2018-05-27,175
2018-06-03,171
2018-06-10,170
2018-06-17,174
2018-06-24,174
2018-07-01,172
2018-07-08,172
2018-07-15,164
2018-07-22,161
2018-07-29,163
2018-08-05,168
2018-08-12,166
2018-08-19,160
2018-08-26,159
2018-09-02,157
2018-09-09,158
2018-09-16,163
2018-09-23,158
2018-09-30,154
2018-10-07,154
2018-10-14,156
2018-10-21,159
2018-10-28,156
2018-11-04,155
2018-11-11,156
2018-11-18,154
2018-11-25,150
2018-12-02,153
2018-12-09,157
2018-12-16,150
2018-12-23,145
2018-12-30,149
2019-01-06,155
2019-01-13,156
2019-01-20,157
2019-01-27,154
2019-02-03,159
2019-02-10,168
2019-02-17,168
2019-02-24,165
2019-03-03,167
2019-03-10,166
2019-03-17,173
2019-03-24,166
2019-03-31,164
2019-04-07,155
2019-04-14,151
2019-04-21,146
2019-04-28,145
2019-05-05,145
2019-05-12,152
2019-05-19,154
2019-05-26,166
2019-06-02,176
2019-06-09,170
2019-06-16,169
2019-06-23,170
2019-06-30,164
2019-07-07,158
2019-07-14,168
2019-07-21,161
2019-07-28,165
2019-08-04,166
2019-08-11,171
2019-08-18,174
2019-08-25,168
2019-09-01,173
2019-09-08,170
2019-09-15,175
2019-09-22,176
2019-09-29,178
2019-10-06,172
2019-10-13,172
2019-10-20,172
2019-10-27,171
2019-11-03,165
2019-11-10,162
2019-11-17,157
2019-11-24,156
2019-12-01,157
2019-12-08,159
2019-12-15,155
2019-12-22,146
2019-12-29,137
2020-01-05,137
2020-01-12,138
2020-01-19,137
2020-01-26,133
2020-02-02,139
2020-02-09,137
2020-02-16,135
2020-02-23,131
2020-03-01,126
2020-03-08,125
2020-03-15,119
2020-03-22,119
2020-03-29,123
2020-04-05,123
2020-04-12,124
2020-04-19,125
2020-04-26,125
2020-05-03,128
2020-05-10,126
2020-05-17,124
2020-05-24,124
2020-05-31,124
2020-06-07,124
2020-06-14,126
2020-06-21,127
2020-06-28,125
2020-07-05,127
2020-07-12,125
2020-07-19,129
2020-07-26,128
2020-08-02,127
2020-08-09,128
2020-08-16,128
2020-08-23,129
2020-08-30,126
2020-09-06,124
2020-09-13,122
2020-09-20,121
2020-09-27,117
2020-10-04,119
2020-10-11,119
2020-10-18,115
2020-10-25,116
2020-11-01,120
2020-11-08,122
2020-11-15,122
2020-11-22,122
2020-11-29,123
2020-12-06,122
2020-12-13,124
2020-12-20,125
2020-12-27,123
2021-01-03,126
2021-01-10,126
2021-01-17,125
2021-01-24,124
2021-01-31,126
2021-02-07,123
2021-02-14,124
2021-02-21,125
2021-02-28,123
2021-03-07,125
2021-03-14,127
2021-03-21,127
2021-03-28,125
2021-04-04,124
2021-04-11,127
2021-04-18,129
2021-04-25,124
2021-05-02,125
2021-05-09,126
2021-05-16,125
2021-05-23,129
2021-05-30,127
2021-06-06,127
2021-06-13,125
2021-06-20,128
2021-06-27,129
2021-07-04,126
2021-07-11,126
2021-07-18,122
2021-07-25,125
2021-08-01,127
2021-08-08,130
2021-08-15,132
2021-08-22,135
2021-08-29,134
2021-09-05,135
2021-09-12,130
2021-09-19,126
2021-09-26,123
2021-10-03,121
2021-10-10,123
2021-10-17,120
2021-10-24,120
2021-10-31,119
2021-11-07,115
2021-11-14,112
2021-11-21,110
2021-11-28,108
2021-12-05,111
2021-12-12,111
2021-12-19,108
2021-12-26,103
