"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.12.2021","416,95","422,00","423,85","416,65","878,25K","-1,28%"
"19.12.2021","422,35","404,25","424,25","400,00","1,09M","2,25%"
"12.12.2021","413,05","422,05","424,85","409,40","1,88M","-1,90%"
"05.12.2021","421,05","402,95","433,65","402,20","1,94M","5,03%"
"28.11.2021","400,90","405,90","408,85","392,75","2,78M","-0,35%"
"21.11.2021","402,30","424,50","425,50","400,50","2,01M","-5,45%"
"14.11.2021","425,50","422,00","430,45","420,30","2,07M","1,08%"
"07.11.2021","420,95","412,05","422,95","409,80","1,27M","1,97%"
"31.10.2021","412,80","396,15","415,60","396,10","1,63M","4,52%"
"24.10.2021","394,95","390,00","394,95","383,85","1,79M","1,78%"
"17.10.2021","388,05","368,10","394,50","360,30","2,17M","5,01%"
"10.10.2021","369,55","357,15","373,50","351,20","1,98M","3,34%"
"03.10.2021","357,60","358,65","366,70","356,15","1,84M","-1,09%"
"26.09.2021","361,55","380,20","380,45","351,00","2,61M","-4,44%"
"19.09.2021","378,35","378,00","389,50","370,80","2,02M","-1,11%"
"12.09.2021","382,60","399,15","402,65","380,55","2,12M","-3,95%"
"05.09.2021","398,35","395,50","401,10","387,35","1,30M","0,89%"
"29.08.2021","394,85","393,20","402,15","392,00","1,44M","0,32%"
"22.08.2021","393,60","395,45","396,95","390,00","1,17M","0,28%"
"15.08.2021","392,50","400,85","401,15","381,55","1,85M","-2,63%"
"08.08.2021","403,10","399,30","406,25","397,00","1,28M","1,01%"
"01.08.2021","399,05","387,55","400,75","386,90","1,43M","3,41%"
"25.07.2021","385,90","385,85","388,75","379,80","1,47M","-0,30%"
"18.07.2021","387,05","373,30","387,40","371,30","1,79M","3,32%"
"11.07.2021","374,60","370,60","378,80","370,30","1,45M","0,75%"
"04.07.2021","371,80","372,20","376,95","360,45","2,14M","-0,23%"
"27.06.2021","372,65","385,60","387,00","371,50","1,92M","-3,31%"
"20.06.2021","385,40","389,15","391,55","381,20","2,04M","-1,26%"
"13.06.2021","390,30","385,75","395,95","382,60","2,31M","1,63%"
"06.06.2021","384,05","377,00","385,15","376,45","1,81M","2,03%"
"30.05.2021","376,40","371,10","377,65","367,00","1,58M","1,31%"
"23.05.2021","371,55","362,45","372,40","362,30","1,73M","2,84%"
"16.05.2021","361,30","353,25","362,65","346,55","1,73M","2,54%"
"09.05.2021","352,35","350,65","353,35","342,30","1,63M","0,70%"
"02.05.2021","349,90","341,85","351,35","340,70","1,95M","2,41%"
"25.04.2021","341,65","344,85","346,20","335,80","1,68M","-1,10%"
"18.04.2021","345,45","336,50","350,65","336,00","1,91M","2,64%"
"11.04.2021","336,55","338,95","344,45","331,90","1,86M","-0,56%"
"04.04.2021","338,45","326,25","341,15","325,75","1,35M","4,51%"
"28.03.2021","323,85","325,40","329,10","322,45","1,29M","0,08%"
"21.03.2021","323,60","319,50","324,90","316,10","1,61M","1,00%"
"14.03.2021","320,40","323,90","326,40","318,90","2,52M","-0,68%"
"07.03.2021","322,60","309,70","323,50","304,30","2,02M","4,47%"
"28.02.2021","308,80","306,10","311,80","304,00","1,99M","1,98%"
"21.02.2021","302,80","314,70","314,70","302,20","1,77M","-4,21%"
"14.02.2021","316,10","319,00","320,00","311,10","2,03M","-0,69%"
"07.02.2021","318,30","309,50","319,40","306,90","2,14M","4,16%"
"31.01.2021","305,60","293,30","306,70","292,40","2,29M","5,34%"
"24.01.2021","290,10","296,70","302,90","290,10","2,31M","-2,09%"
"17.01.2021","296,30","296,60","298,80","292,70","1,80M","-0,70%"
"10.01.2021","298,40","305,70","306,60","295,20","1,89M","-2,58%"
"03.01.2021","306,30","314,80","316,10","302,60","1,80M","-1,45%"
"27.12.2020","310,80","303,90","314,10","301,20","868,55K","2,81%"
"20.12.2020","302,30","303,10","305,00","294,20","1,27M","-1,02%"
"13.12.2020","305,40","303,70","311,30","301,80","2,75M","0,96%"
"06.12.2020","302,50","306,20","306,50","299,20","1,85M","-1,24%"
"29.11.2020","306,30","308,80","309,60","302,80","2,38M","-0,97%"
"22.11.2020","309,30","313,20","313,40","295,60","2,73M","-0,90%"
"15.11.2020","312,10","316,00","320,90","309,80","2,50M","-0,67%"
"08.11.2020","314,20","300,30","321,40","299,40","3,42M","5,79%"
"01.11.2020","297,00","279,30","303,10","276,80","2,62M","6,95%"
"25.10.2020","277,70","286,80","288,30","275,10","2,89M","-3,78%"
"18.10.2020","288,60","293,30","295,00","282,90","1,79M","-0,96%"
"11.10.2020","291,40","283,00","293,70","281,20","2,03M","3,19%"
"04.10.2020","282,40","282,50","283,10","276,60","1,62M","0,43%"
"27.09.2020","281,20","273,30","283,40","273,20","2,36M","3,88%"
"20.09.2020","270,70","276,00","279,70","269,30","2,47M","-2,13%"
"13.09.2020","276,60","283,30","284,30","274,50","2,46M","-1,98%"
"06.09.2020","282,20","274,50","284,20","273,80","1,90M","3,03%"
"30.08.2020","273,90","278,70","285,40","272,60","2,18M","-1,19%"
"23.08.2020","277,20","275,90","282,70","275,10","1,65M","1,20%"
"16.08.2020","273,90","279,60","283,40","272,30","1,92M","-1,65%"
"09.08.2020","278,50","278,40","283,60","275,10","2,01M","0,32%"
"02.08.2020","277,60","283,00","286,50","275,40","2,53M","-1,91%"
"26.07.2020","283,00","283,80","291,50","279,50","2,73M","-0,67%"
"19.07.2020","284,90","290,30","292,60","283,30","2,11M","-1,86%"
"12.07.2020","290,30","290,50","294,90","282,30","2,64M","0,59%"
"05.07.2020","288,60","295,00","295,00","281,10","2,12M","-0,35%"
"28.06.2020","289,60","283,50","297,20","280,40","2,43M","1,58%"
"21.06.2020","285,10","277,10","287,20","274,70","2,33M","2,11%"
"14.06.2020","279,20","260,00","283,10","255,10","3,39M","6,00%"
"07.06.2020","263,40","268,10","270,80","260,80","3,19M","-2,34%"
"31.05.2020","269,70","264,00","272,80","257,50","3,50M","2,98%"
"24.05.2020","261,90","250,20","263,50","244,80","3,21M","5,56%"
"17.05.2020","248,10","248,10","254,50","243,40","2,53M","2,22%"
"10.05.2020","242,70","254,20","257,80","239,10","2,13M","-4,26%"
"03.05.2020","253,50","255,00","257,50","243,00","2,59M","-4,45%"
"26.04.2020","265,30","245,70","265,30","242,70","2,43M","9,04%"
"19.04.2020","243,30","248,00","256,00","241,60","2,30M","-1,74%"
"12.04.2020","247,60","247,20","256,80","236,40","2,69M","1,14%"
"05.04.2020","244,80","241,60","249,30","233,20","2,51M","3,60%"
"29.03.2020","236,30","238,70","246,30","229,00","3,47M","-1,54%"
"22.03.2020","240,00","217,90","255,40","213,90","4,89M","5,73%"
"15.03.2020","227,00","206,30","243,50","196,00","7,06M","5,09%"
"08.03.2020","216,00","236,80","246,90","210,10","9,95M","-14,86%"
"01.03.2020","253,70","246,20","263,10","239,50","5,71M","5,27%"
"23.02.2020","241,00","258,60","261,10","235,20","5,81M","-9,40%"
"16.02.2020","266,00","269,10","273,40","263,20","2,28M","-0,82%"
"09.02.2020","268,20","270,50","273,40","266,00","2,21M","-0,92%"
"02.02.2020","270,70","252,30","278,50","252,30","3,09M","7,46%"
"26.01.2020","251,90","265,10","265,10","251,90","3,26M","-6,88%"
"19.01.2020","270,50","273,40","274,90","266,30","1,98M","-1,74%"
"12.01.2020","275,30","263,10","276,20","259,50","2,24M","4,32%"
"05.01.2020","263,90","261,30","264,80","257,80","1,91M","0,00%"
"29.12.2019","263,90","265,90","266,70","260,60","970,34K","-0,83%"
"22.12.2019","266,10","264,60","267,60","263,20","647,57K","0,53%"
"15.12.2019","264,70","257,70","265,40","255,10","2,96M","3,28%"
"08.12.2019","256,30","255,60","258,70","250,20","2,08M","-0,16%"
"01.12.2019","256,70","257,90","259,70","248,30","2,34M","-0,77%"
"24.11.2019","258,70","256,00","260,20","254,00","1,80M","1,29%"
"17.11.2019","255,40","260,80","262,70","254,90","1,84M","-2,33%"
"10.11.2019","261,50","263,90","264,80","259,80","1,68M","-1,06%"
"03.11.2019","264,30","260,40","265,50","258,70","2,17M","1,50%"
"27.10.2019","260,40","243,00","266,60","240,50","3,03M","7,03%"
"20.10.2019","243,30","240,50","243,30","235,50","2,21M","1,08%"
"13.10.2019","240,70","242,70","247,90","239,50","2,39M","-1,03%"
"06.10.2019","243,20","246,70","250,70","241,10","2,20M","-1,14%"
"29.09.2019","246,00","252,90","258,90","239,40","2,96M","-2,92%"
"22.09.2019","253,40","247,00","253,80","244,80","2,03M","1,77%"
"15.09.2019","249,00","243,70","249,30","241,40","2,75M","1,88%"
"08.09.2019","244,40","251,20","252,20","243,80","2,94M","-2,71%"
"01.09.2019","251,20","247,60","255,60","247,10","2,31M","1,05%"
"25.08.2019","248,60","236,00","251,10","233,50","3,01M","5,29%"
"18.08.2019","236,10","234,30","241,50","233,40","2,33M","1,20%"
"11.08.2019","233,30","234,30","235,50","226,40","2,78M","0,26%"
"04.08.2019","232,70","236,00","238,90","228,00","3,41M","-2,06%"
"28.07.2019","237,60","248,30","252,80","235,30","3,11M","-4,62%"
"21.07.2019","249,10","248,30","251,80","246,00","2,13M","0,44%"
"14.07.2019","248,00","251,10","253,70","247,70","1,75M","-1,39%"
"07.07.2019","251,50","253,20","255,70","250,10","1,57M","-0,47%"
"30.06.2019","252,70","252,00","257,80","248,80","1,73M","0,88%"
"23.06.2019","250,50","255,40","256,80","246,20","2,23M","-1,88%"
"16.06.2019","255,30","247,20","257,30","247,10","3,02M","2,94%"
"09.06.2019","248,00","245,10","248,40","243,80","1,72M","1,18%"
"02.06.2019","245,10","240,00","246,40","238,10","2,08M","1,96%"
"26.05.2019","240,40","244,70","245,70","238,30","2,05M","-1,15%"
"19.05.2019","243,20","243,00","244,10","238,70","2,20M","-0,16%"
"12.05.2019","243,60","235,90","244,90","233,10","2,37M","3,66%"
"05.05.2019","235,00","238,50","241,50","234,80","2,01M","-2,61%"
"28.04.2019","241,30","238,50","245,20","238,00","2,01M","-0,25%"
"21.04.2019","241,90","242,30","245,60","239,00","1,93M","-0,53%"
"14.04.2019","243,20","239,50","245,80","237,20","2,57M","1,21%"
"07.04.2019","240,30","240,60","242,50","238,40","1,78M","0,13%"
"31.03.2019","240,00","241,30","241,70","237,50","2,26M","0,08%"
"24.03.2019","239,80","234,00","240,30","233,50","2,01M","2,17%"
